sku,product_name,category,subcategory,brand,unit_price,lead_time_days,abc_class,xyz_class
EL-001,Wireless Headphones Pro,Electronics,Audio,SoundCore,149.99,14,A,X
EL-002,Smart Watch Series 5,Electronics,Wearables,TechFit,299.99,21,A,Y
EL-003,Bluetooth Speaker Mini,Electronics,Audio,SoundCore,79.99,10,B,X
AP-001,Performance Running Shoes,Apparel,Footwear,StepFast,119.99,30,A,Y
FB-001,Premium Coffee Blend,Food & Beverage,Coffee,BeanMaster,24.99,7,A,X
EL-1000,Electronics Product 1,Electronics,Budget,TechCorp,60.48,19,A,X
EL-1001,Electronics Product 2,Electronics,Professional,TechCorp,49.42,26,A,Y
EL-1002,Electronics Product 3,Electronics,Standard,TechCorp,110.49,25,A,Y
EL-1003,Electronics Product 4,Electronics,Casual,TechCorp,67.81,13,A,X
EL-1004,Electronics Product 5,Electronics,Budget,TechCorp,155.45,15,A,Y
EL-1005,Electronics Product 6,Electronics,Standard,TechCorp,70.79,10,A,Y
EL-1006,Electronics Product 7,Electronics,Budget,TechCorp,82.15,14,A,X
EL-1007,Electronics Product 8,Electronics,Budget,TechCorp,227.19,14,B,X
EL-1008,Electronics Product 9,Electronics,Professional,TechCorp,61.31,19,A,Z
EL-1009,Electronics Product 10,Electronics,Professional,TechCorp,213.78,7,A,Z
EL-1010,Electronics Product 11,Electronics,Casual,TechCorp,160.38,16,A,Z
EL-1011,Electronics Product 12,Electronics,Casual,TechCorp,213.58,18,A,Y
EL-1012,Electronics Product 13,Electronics,Professional,TechCorp,167.28,7,A,X
EL-1013,Electronics Product 14,Electronics,Budget,TechCorp,30.83,34,A,Z
EL-1014,Electronics Product 15,Electronics,Casual,TechCorp,226.61,22,B,Z
AP-1015,Apparel Product 1,Apparel,Professional,StyleMax,254.91,20,A,Y
AP-1016,Apparel Product 2,Apparel,Budget,StyleMax,233.3,19,A,X
AP-1017,Apparel Product 3,Apparel,Budget,StyleMax,92.01,5,A,X
AP-1018,Apparel Product 4,Apparel,Premium,StyleMax,215.05,8,A,Z
AP-1019,Apparel Product 5,Apparel,Professional,StyleMax,93.53,32,A,Y
AP-1020,Apparel Product 6,Apparel,Casual,StyleMax,192.73,19,B,Y
AP-1021,Apparel Product 7,Apparel,Casual,StyleMax,68.68,15,C,X
AP-1022,Apparel Product 8,Apparel,Standard,StyleMax,148.26,10,A,X
